mode,seed,method,episode,scope,version,x,action,reward,certified,wrong_certificate,phase,live_hypotheses
interleaved,0,stateless,57,public-system-0,v1,4,0,0,0,0,early,0
interleaved,0,stateless,58,public-system-0,v1,3,0,0,0,0,early,0
interleaved,0,stateless,59,public-system-0,v1,6,0,0,0,0,early,0
interleaved,0,stateless,60,public-system-1,v1,6,0,0,0,0,early,0
interleaved,0,stateless,61,public-system-1,v1,2,0,0,0,0,early,0
interleaved,0,stateless,62,public-system-1,v1,1,0,0,0,0,early,0
interleaved,0,stateless,63,public-system-1,v1,5,0,0,0,0,early,0
interleaved,0,stateless,64,public-system-1,v1,2,0,0,0,0,early,0
interleaved,0,stateless,65,public-system-1,v1,5,0,0,0,0,early,0
interleaved,0,stateless,66,public-system-1,v1,6,0,0,0,0,early,0
interleaved,0,stateless,67,public-system-1,v1,0,0,1,0,0,early,0
interleaved,0,stateless,68,public-system-1,v1,1,0,0,0,0,early,0
interleaved,0,stateless,69,public-system-1,v1,4,0,0,0,0,early,0
interleaved,0,stateless,70,public-system-1,v1,1,0,0,0,0,early,0
interleaved,0,stateless,71,public-system-1,v1,1,0,0,0,0,early,0
interleaved,0,stateless,72,public-system-2,v1,6,0,0,0,0,early,0
interleaved,0,stateless,73,public-system-2,v1,1,0,1,0,0,early,0
interleaved,0,stateless,74,public-system-2,v1,6,0,0,0,0,early,0
interleaved,0,stateless,75,public-system-2,v1,4,0,0,0,0,early,0
interleaved,0,stateless,76,public-system-2,v1,3,0,0,0,0,early,0
interleaved,0,stateless,77,public-system-2,v1,0,0,0,0,0,early,0
interleaved,0,stateless,78,public-system-2,v1,0,0,0,0,0,early,0
interleaved,0,stateless,79,public-system-2,v1,2,0,0,0,0,early,0
interleaved,0,stateless,80,public-system-2,v1,4,0,0,0,0,early,0
interleaved,0,stateless,81,public-system-2,v1,3,0,0,0,0,early,0
interleaved,0,stateless,82,public-system-2,v1,0,0,0,0,0,early,0
interleaved,0,stateless,83,public-system-2,v1,2,0,0,0,0,early,0
interleaved,0,stateless,84,public-system-3,v1,4,0,0,0,0,early,0
interleaved,0,stateless,85,public-system-3,v1,2,0,0,0,0,early,0
interleaved,0,stateless,86,public-system-3,v1,5,0,0,0,0,early,0
interleaved,0,stateless,87,public-system-3,v1,0,0,0,0,0,early,0
interleaved,0,stateless,88,public-system-3,v1,4,0,0,0,0,early,0
interleaved,0,stateless,89,public-system-3,v1,2,0,0,0,0,early,0
interleaved,0,stateless,90,public-system-3,v1,6,0,0,0,0,early,0
interleaved,0,stateless,91,public-system-3,v1,4,0,0,0,0,early,0
interleaved,0,stateless,92,public-system-3,v1,1,0,1,0,0,early,0
interleaved,0,stateless,93,public-system-3,v1,6,0,0,0,0,early,0
interleaved,0,stateless,94,public-system-3,v1,4,0,0,0,0,early,0
interleaved,0,stateless,95,public-system-3,v1,4,0,0,0,0,early,0
interleaved,0,stateless,96,public-system-0,v1,4,0,0,0,0,early,0
interleaved,0,stateless,97,public-system-0,v1,2,0,1,0,0,early,0
interleaved,0,stateless,98,public-system-0,v1,3,0,0,0,0,early,0
interleaved,0,stateless,99,public-system-0,v1,0,0,0,0,0,early,0
interleaved,0,stateless,100,public-system-0,v1,4,0,0,0,0,early,0
interleaved,0,stateless,101,public-system-0,v1,6,0,0,0,0,early,0
interleaved,0,stateless,102,public-system-0,v1,3,0,0,0,0,early,0
interleaved,0,stateless,103,public-system-0,v1,2,0,1,0,0,early,0
interleaved,0,stateless,104,public-system-0,v1,4,0,0,0,0,early,0
interleaved,0,stateless,105,public-system-0,v1,1,0,0,0,0,early,0
interleaved,0,stateless,106,public-system-0,v1,2,0,1,0,0,early,0
interleaved,0,stateless,107,public-system-0,v1,1,0,0,0,0,early,0
interleaved,0,stateless,108,public-system-1,v1,1,0,0,0,0,early,0
interleaved,0,stateless,109,public-system-1,v1,6,0,0,0,0,early,0
interleaved,0,stateless,110,public-system-1,v1,1,0,0,0,0,early,0
interleaved,0,stateless,111,public-system-1,v1,0,0,1,0,0,early,0
interleaved,0,stateless,112,public-system-1,v1,4,0,0,0,0,early,0
interleaved,0,stateless,113,public-system-1,v1,5,0,0,0,0,early,0
interleaved,0,stateless,114,public-system-1,v1,2,0,0,0,0,early,0
interleaved,0,stateless,115,public-system-1,v1,3,0,0,0,0,early,0
interleaved,0,stateless,116,public-system-1,v1,0,0,1,0,0,early,0
interleaved,0,stateless,117,public-system-1,v1,0,0,1,0,0,early,0
interleaved,0,stateless,118,public-system-1,v1,5,0,0,0,0,early,0
interleaved,0,stateless,119,public-system-1,v1,6,0,0,0,0,early,0
interleaved,0,stateless,120,public-system-2,v1,1,0,1,0,0,early,0
interleaved,0,stateless,121,public-system-2,v1,1,0,1,0,0,early,0
interleaved,0,stateless,122,public-system-2,v1,0,0,0,0,0,early,0
interleaved,0,stateless,123,public-system-2,v1,6,0,0,0,0,early,0
interleaved,0,stateless,124,public-system-2,v1,0,0,0,0,0,early,0
interleaved,0,stateless,125,public-system-2,v1,5,0,0,0,0,early,0
interleaved,0,stateless,126,public-system-2,v1,6,0,0,0,0,early,0
interleaved,0,stateless,127,public-system-2,v1,4,0,0,0,0,early,0
interleaved,0,stateless,128,public-system-2,v1,5,0,0,0,0,early,0
interleaved,0,stateless,129,public-system-2,v1,3,0,0,0,0,early,0
interleaved,0,stateless,130,public-system-2,v1,6,0,0,0,0,early,0
interleaved,0,stateless,131,public-system-2,v1,5,0,0,0,0,early,0
interleaved,0,stateless,132,public-system-3,v1,4,0,0,0,0,early,0
interleaved,0,stateless,133,public-system-3,v1,2,0,0,0,0,early,0
interleaved,0,stateless,134,public-system-3,v1,4,0,0,0,0,early,0
interleaved,0,stateless,135,public-system-3,v1,6,0,0,0,0,early,0
interleaved,0,stateless,136,public-system-3,v1,1,0,1,0,0,early,0
interleaved,0,stateless,137,public-system-3,v1,6,0,0,0,0,early,0
interleaved,0,stateless,138,public-system-3,v1,1,0,1,0,0,early,0
interleaved,0,stateless,139,public-system-3,v1,5,0,0,0,0,early,0
interleaved,0,stateless,140,public-system-3,v1,4,0,0,0,0,early,0
interleaved,0,stateless,141,public-system-3,v1,6,0,0,0,0,early,0
interleaved,0,stateless,142,public-system-3,v1,3,0,0,0,0,early,0
interleaved,0,stateless,143,public-system-3,v1,4,0,0,0,0,early,0
interleaved,0,stateless,144,public-system-0,v1,2,0,1,0,0,early,0
interleaved,0,stateless,145,public-system-0,v1,3,0,0,0,0,early,0
interleaved,0,stateless,146,public-system-0,v1,3,0,0,0,0,early,0
interleaved,0,stateless,147,public-system-0,v1,5,0,0,0,0,early,0
interleaved,0,stateless,148,public-system-0,v1,5,0,0,0,0,early,0
interleaved,0,stateless,149,public-system-0,v1,5,0,0,0,0,early,0
interleaved,0,stateless,150,public-system-0,v1,6,0,0,0,0,early,0
interleaved,0,stateless,151,public-system-0,v1,2,0,1,0,0,early,0
interleaved,0,stateless,152,public-system-0,v1,0,0,0,0,0,early,0
interleaved,0,stateless,153,public-system-0,v1,2,0,1,0,0,early,0
interleaved,0,stateless,154,public-system-0,v1,4,0,0,0,0,early,0
interleaved,0,stateless,155,public-system-0,v1,0,0,0,0,0,early,0
interleaved,0,stateless,156,public-system-1,v1,3,0,0,0,0,early,0
interleaved,0,stateless,157,public-system-1,v1,4,0,0,0,0,early,0
interleaved,0,stateless,158,public-system-1,v1,5,0,0,0,0,early,0
interleaved,0,stateless,159,public-system-1,v1,2,0,0,0,0,early,0
interleaved,0,stateless,160,public-system-1,v1,6,0,0,0,0,early,0
interleaved,0,stateless,161,public-system-1,v1,1,0,0,0,0,early,0
interleaved,0,stateless,162,public-system-1,v1,1,0,0,0,0,early,0
interleaved,0,stateless,163,public-system-1,v1,0,0,1,0,0,early,0
interleaved,0,stateless,164,public-system-1,v1,5,0,0,0,0,early,0
interleaved,0,stateless,165,public-system-1,v1,2,0,0,0,0,early,0
interleaved,0,stateless,166,public-system-1,v1,0,0,1,0,0,early,0
interleaved,0,stateless,167,public-system-1,v1,5,0,0,0,0,early,0
interleaved,0,stateless,168,public-system-2,v1,1,0,1,0,0,early,0
interleaved,0,stateless,169,public-system-2,v1,2,0,0,0,0,early,0
interleaved,0,stateless,170,public-system-2,v1,6,0,0,0,0,early,0
interleaved,0,stateless,171,public-system-2,v1,1,0,1,0,0,early,0
interleaved,0,stateless,172,public-system-2,v1,2,0,0,0,0,early,0
interleaved,0,stateless,173,public-system-2,v1,3,0,0,0,0,early,0
interleaved,0,stateless,174,public-system-2,v1,6,0,0,0,0,early,0
interleaved,0,stateless,175,public-system-2,v1,0,0,0,0,0,early,0
interleaved,0,stateless,176,public-system-2,v1,0,0,0,0,0,early,0
interleaved,0,stateless,177,public-system-2,v1,6,0,0,0,0,early,0
interleaved,0,stateless,178,public-system-2,v1,1,0,1,0,0,early,0
interleaved,0,stateless,179,public-system-2,v1,6,0,0,0,0,early,0
interleaved,0,stateless,180,public-system-3,v1,5,0,0,0,0,early,0
interleaved,0,stateless,181,public-system-3,v1,1,0,1,0,0,early,0
interleaved,0,stateless,182,public-system-3,v1,0,0,0,0,0,early,0
interleaved,0,stateless,183,public-system-3,v1,6,0,0,0,0,early,0
interleaved,0,stateless,184,public-system-3,v1,4,0,0,0,0,early,0
interleaved,0,stateless,185,public-system-3,v1,5,0,0,0,0,early,0
interleaved,0,stateless,186,public-system-3,v1,4,0,0,0,0,early,0
interleaved,0,stateless,187,public-system-3,v1,4,0,0,0,0,early,0
interleaved,0,stateless,188,public-system-3,v1,5,0,0,0,0,early,0
interleaved,0,stateless,189,public-system-3,v1,0,0,0,0,0,early,0
interleaved,0,stateless,190,public-system-3,v1,0,0,0,0,0,early,0
interleaved,0,stateless,191,public-system-3,v1,0,0,0,0,0,early,0
interleaved,0,stateless,192,public-system-0,v1,5,0,0,0,0,late,0
interleaved,0,stateless,193,public-system-0,v1,1,0,0,0,0,late,0
interleaved,0,stateless,194,public-system-0,v1,4,0,0,0,0,late,0
interleaved,0,stateless,195,public-system-0,v1,6,0,0,0,0,late,0
interleaved,0,stateless,196,public-system-0,v1,4,0,0,0,0,late,0
interleaved,0,stateless,197,public-system-0,v1,0,0,0,0,0,late,0
interleaved,0,stateless,198,public-system-0,v1,3,0,0,0,0,late,0
interleaved,0,stateless,199,public-system-0,v1,0,0,0,0,0,late,0
interleaved,0,stateless,200,public-system-0,v1,2,0,1,0,0,late,0
interleaved,0,stateless,201,public-system-0,v1,6,0,0,0,0,late,0
interleaved,0,stateless,202,public-system-0,v1,0,0,0,0,0,late,0
interleaved,0,stateless,203,public-system-0,v1,0,0,0,0,0,late,0
interleaved,0,stateless,204,public-system-1,v1,4,0,0,0,0,late,0
interleaved,0,stateless,205,public-system-1,v1,0,0,1,0,0,late,0
interleaved,0,stateless,206,public-system-1,v1,1,0,0,0,0,late,0
interleaved,0,stateless,207,public-system-1,v1,1,0,0,0,0,late,0
interleaved,0,stateless,208,public-system-1,v1,5,0,0,0,0,late,0
interleaved,0,stateless,209,public-system-1,v1,0,0,1,0,0,late,0
interleaved,0,stateless,210,public-system-1,v1,3,0,0,0,0,late,0
interleaved,0,stateless,211,public-system-1,v1,1,0,0,0,0,late,0
interleaved,0,stateless,212,public-system-1,v1,5,0,0,0,0,late,0
interleaved,0,stateless,213,public-system-1,v1,6,0,0,0,0,late,0
interleaved,0,stateless,214,public-system-1,v1,0,0,1,0,0,late,0
interleaved,0,stateless,215,public-system-1,v1,5,0,0,0,0,late,0
interleaved,0,stateless,216,public-system-2,v1,0,0,0,0,0,late,0
interleaved,0,stateless,217,public-system-2,v1,4,0,0,0,0,late,0
interleaved,0,stateless,218,public-system-2,v1,3,0,0,0,0,late,0
interleaved,0,stateless,219,public-system-2,v1,4,0,0,0,0,late,0
interleaved,0,stateless,220,public-system-2,v1,0,0,0,0,0,late,0
interleaved,0,stateless,221,public-system-2,v1,6,0,0,0,0,late,0
interleaved,0,stateless,222,public-system-2,v1,2,0,0,0,0,late,0
interleaved,0,stateless,223,public-system-2,v1,0,0,0,0,0,late,0
interleaved,0,stateless,224,public-system-2,v1,1,0,1,0,0,late,0
interleaved,0,stateless,225,public-system-2,v1,0,0,0,0,0,late,0
interleaved,0,stateless,226,public-system-2,v1,5,0,0,0,0,late,0
interleaved,0,stateless,227,public-system-2,v1,2,0,0,0,0,late,0
interleaved,0,stateless,228,public-system-3,v1,2,0,0,0,0,late,0
interleaved,0,stateless,229,public-system-3,v1,3,0,0,0,0,late,0
interleaved,0,stateless,230,public-system-3,v1,1,0,1,0,0,late,0
interleaved,0,stateless,231,public-system-3,v1,0,0,0,0,0,late,0
interleaved,0,stateless,232,public-system-3,v1,4,0,0,0,0,late,0
interleaved,0,stateless,233,public-system-3,v1,3,0,0,0,0,late,0
interleaved,0,stateless,234,public-system-3,v1,0,0,0,0,0,late,0
interleaved,0,stateless,235,public-system-3,v1,4,0,0,0,0,late,0
interleaved,0,stateless,236,public-system-3,v1,0,0,0,0,0,late,0
interleaved,0,stateless,237,public-system-3,v1,5,0,0,0,0,late,0
interleaved,0,stateless,238,public-system-3,v1,3,0,0,0,0,late,0
interleaved,0,stateless,239,public-system-3,v1,1,0,1,0,0,late,0
interleaved,0,stateless,240,public-system-0,v1,2,0,1,0,0,late,0
interleaved,0,stateless,241,public-system-0,v1,2,0,1,0,0,late,0
interleaved,0,stateless,242,public-system-0,v1,5,0,0,0,0,late,0
interleaved,0,stateless,243,public-system-0,v1,3,0,0,0,0,late,0
interleaved,0,stateless,244,public-system-0,v1,6,0,0,0,0,late,0
interleaved,0,stateless,245,public-system-0,v1,4,0,0,0,0,late,0
interleaved,0,stateless,246,public-system-0,v1,1,0,0,0,0,late,0
interleaved,0,stateless,247,public-system-0,v1,5,0,0,0,0,late,0
interleaved,0,stateless,248,public-system-0,v1,5,0,0,0,0,late,0
interleaved,0,stateless,249,public-system-0,v1,1,0,0,0,0,late,0
interleaved,0,stateless,250,public-system-0,v1,6,0,0,0,0,late,0
interleaved,0,stateless,251,public-system-0,v1,0,0,0,0,0,late,0
interleaved,0,stateless,252,public-system-1,v1,6,0,0,0,0,late,0
interleaved,0,stateless,253,public-system-1,v1,5,0,0,0,0,late,0
interleaved,0,stateless,254,public-system-1,v1,1,0,0,0,0,late,0
interleaved,0,stateless,255,public-system-1,v1,6,0,0,0,0,late,0
interleaved,0,stateless,256,public-system-1,v1,1,0,0,0,0,late,0
interleaved,0,stateless,257,public-system-1,v1,2,0,0,0,0,late,0
interleaved,0,stateless,258,public-system-1,v1,4,0,0,0,0,late,0
interleaved,0,stateless,259,public-system-1,v1,2,0,0,0,0,late,0
interleaved,0,stateless,260,public-system-1,v1,0,0,1,0,0,late,0
interleaved,0,stateless,261,public-system-1,v1,4,0,0,0,0,late,0
interleaved,0,stateless,262,public-system-1,v1,3,0,0,0,0,late,0
interleaved,0,stateless,263,public-system-1,v1,5,0,0,0,0,late,0
interleaved,0,stateless,264,public-system-2,v1,1,0,1,0,0,late,0
interleaved,0,stateless,265,public-system-2,v1,0,0,0,0,0,late,0
interleaved,0,stateless,266,public-system-2,v1,3,0,0,0,0,late,0
interleaved,0,stateless,267,public-system-2,v1,5,0,0,0,0,late,0
interleaved,0,stateless,268,public-system-2,v1,3,0,0,0,0,late,0
interleaved,0,stateless,269,public-system-2,v1,4,0,0,0,0,late,0
interleaved,0,stateless,270,public-system-2,v1,6,0,0,0,0,late,0
interleaved,0,stateless,271,public-system-2,v1,4,0,0,0,0,late,0
interleaved,0,stateless,272,public-system-2,v1,2,0,0,0,0,late,0
interleaved,0,stateless,273,public-system-2,v1,5,0,0,0,0,late,0
interleaved,0,stateless,274,public-system-2,v1,2,0,0,0,0,late,0
interleaved,0,stateless,275,public-system-2,v1,3,0,0,0,0,late,0
interleaved,0,stateless,276,public-system-3,v1,6,0,0,0,0,late,0
interleaved,0,stateless,277,public-system-3,v1,5,0,0,0,0,late,0
interleaved,0,stateless,278,public-system-3,v1,2,0,0,0,0,late,0
interleaved,0,stateless,279,public-system-3,v1,1,0,1,0,0,late,0
interleaved,0,stateless,280,public-system-3,v1,4,0,0,0,0,late,0
interleaved,0,stateless,281,public-system-3,v1,5,0,0,0,0,late,0
interleaved,0,stateless,282,public-system-3,v1,0,0,0,0,0,late,0
interleaved,0,stateless,283,public-system-3,v1,3,0,0,0,0,late,0
interleaved,0,stateless,284,public-system-3,v1,5,0,0,0,0,late,0
interleaved,0,stateless,285,public-system-3,v1,0,0,0,0,0,late,0
interleaved,0,stateless,286,public-system-3,v1,2,0,0,0,0,late,0
interleaved,0,stateless,287,public-system-3,v1,5,0,0,0,0,late,0
interleaved,0,stateless,288,public-system-0,v1,0,0,0,0,0,late,0
interleaved,0,stateless,289,public-system-0,v1,4,0,0,0,0,late,0
interleaved,0,stateless,290,public-system-0,v1,2,0,1,0,0,late,0
interleaved,0,stateless,291,public-system-0,v1,1,0,0,0,0,late,0
interleaved,0,stateless,292,public-system-0,v1,1,0,0,0,0,late,0
interleaved,0,stateless,293,public-system-0,v1,6,0,0,0,0,late,0
interleaved,0,stateless,294,public-system-0,v1,3,0,0,0,0,late,0
interleaved,0,stateless,295,public-system-0,v1,2,0,1,0,0,late,0
interleaved,0,stateless,296,public-system-0,v1,4,0,0,0,0,late,0
interleaved,0,stateless,297,public-system-0,v1,2,0,1,0,0,late,0
interleaved,0,stateless,298,public-system-0,v1,5,0,0,0,0,late,0
interleaved,0,stateless,299,public-system-0,v1,2,0,1,0,0,late,0
interleaved,0,stateless,300,public-system-1,v1,4,0,0,0,0,late,0
interleaved,0,stateless,301,public-system-1,v1,5,0,0,0,0,late,0
interleaved,0,stateless,302,public-system-1,v1,6,0,0,0,0,late,0
interleaved,0,stateless,303,public-system-1,v1,4,0,0,0,0,late,0
interleaved,0,stateless,304,public-system-1,v1,1,0,0,0,0,late,0
interleaved,0,stateless,305,public-system-1,v1,5,0,0,0,0,late,0
interleaved,0,stateless,306,public-system-1,v1,2,0,0,0,0,late,0
interleaved,0,stateless,307,public-system-1,v1,3,0,0,0,0,late,0
interleaved,0,stateless,308,public-system-1,v1,5,0,0,0,0,late,0
interleaved,0,stateless,309,public-system-1,v1,3,0,0,0,0,late,0
interleaved,0,stateless,310,public-system-1,v1,6,0,0,0,0,late,0
interleaved,0,stateless,311,public-system-1,v1,5,0,0,0,0,late,0
interleaved,0,stateless,312,public-system-2,v1,0,0,0,0,0,late,0
interleaved,0,stateless,313,public-system-2,v1,0,0,0,0,0,late,0
interleaved,0,stateless,314,public-system-2,v1,4,0,0,0,0,late,0
interleaved,0,stateless,315,public-system-2,v1,1,0,1,0,0,late,0
interleaved,0,stateless,316,public-system-2,v1,5,0,0,0,0,late,0
interleaved,0,stateless,317,public-system-2,v1,2,0,0,0,0,late,0
interleaved,0,stateless,318,public-system-2,v1,1,0,1,0,0,late,0
interleaved,0,stateless,319,public-system-2,v1,1,0,1,0,0,late,0
interleaved,0,stateless,320,public-system-2,v1,1,0,1,0,0,late,0
interleaved,0,stateless,321,public-system-2,v1,5,0,0,0,0,late,0
interleaved,0,stateless,322,public-system-2,v1,3,0,0,0,0,late,0
interleaved,0,stateless,323,public-system-2,v1,3,0,0,0,0,late,0
interleaved,0,stateless,324,public-system-3,v1,5,0,0,0,0,late,0
interleaved,0,stateless,325,public-system-3,v1,5,0,0,0,0,late,0
interleaved,0,stateless,326,public-system-3,v1,4,0,0,0,0,late,0
interleaved,0,stateless,327,public-system-3,v1,6,0,0,0,0,late,0
interleaved,0,stateless,328,public-system-3,v1,3,0,0,0,0,late,0
interleaved,0,stateless,329,public-system-3,v1,0,0,0,0,0,late,0
interleaved,0,stateless,330,public-system-3,v1,3,0,0,0,0,late,0
interleaved,0,stateless,331,public-system-3,v1,6,0,0,0,0,late,0
interleaved,0,stateless,332,public-system-3,v1,5,0,0,0,0,late,0
interleaved,0,stateless,333,public-system-3,v1,4,0,0,0,0,late,0
interleaved,0,stateless,334,public-system-3,v1,3,0,0,0,0,late,0
interleaved,0,stateless,335,public-system-3,v1,6,0,0,0,0,late,0
interleaved,0,stateless,336,public-system-0,v1,5,0,0,0,0,late,0
interleaved,0,stateless,337,public-system-0,v1,5,0,0,0,0,late,0
interleaved,0,stateless,338,public-system-0,v1,0,0,0,0,0,late,0
interleaved,0,stateless,339,public-system-0,v1,1,0,0,0,0,late,0
interleaved,0,stateless,340,public-system-0,v1,3,0,0,0,0,late,0
interleaved,0,stateless,341,public-system-0,v1,0,0,0,0,0,late,0
interleaved,0,stateless,342,public-system-0,v1,2,0,1,0,0,late,0
interleaved,0,stateless,343,public-system-0,v1,5,0,0,0,0,late,0
interleaved,0,stateless,344,public-system-0,v1,1,0,0,0,0,late,0
interleaved,0,stateless,345,public-system-0,v1,3,0,0,0,0,late,0
interleaved,0,stateless,346,public-system-0,v1,4,0,0,0,0,late,0
interleaved,0,stateless,347,public-system-0,v1,3,0,0,0,0,late,0
interleaved,0,stateless,348,public-system-1,v1,4,0,0,0,0,late,0
interleaved,0,stateless,349,public-system-1,v1,4,0,0,0,0,late,0
interleaved,0,stateless,350,public-system-1,v1,6,0,0,0,0,late,0
interleaved,0,stateless,351,public-system-1,v1,0,0,1,0,0,late,0
interleaved,0,stateless,352,public-system-1,v1,0,0,1,0,0,late,0
interleaved,0,stateless,353,public-system-1,v1,3,0,0,0,0,late,0
interleaved,0,stateless,354,public-system-1,v1,2,0,0,0,0,late,0
interleaved,0,stateless,355,public-system-1,v1,2,0,0,0,0,late,0
interleaved,0,stateless,356,public-system-1,v1,6,0,0,0,0,late,0
interleaved,0,stateless,357,public-system-1,v1,3,0,0,0,0,late,0
interleaved,0,stateless,358,public-system-1,v1,0,0,1,0,0,late,0
interleaved,0,stateless,359,public-system-1,v1,6,0,0,0,0,late,0
interleaved,0,stateless,360,public-system-2,v1,6,0,0,0,0,late,0
interleaved,0,stateless,361,public-system-2,v1,6,0,0,0,0,late,0
interleaved,0,stateless,362,public-system-2,v1,3,0,0,0,0,late,0
interleaved,0,stateless,363,public-system-2,v1,1,0,1,0,0,late,0
interleaved,0,stateless,364,public-system-2,v1,4,0,0,0,0,late,0
interleaved,0,stateless,365,public-system-2,v1,5,0,0,0,0,late,0
interleaved,0,stateless,366,public-system-2,v1,0,0,0,0,0,late,0
interleaved,0,stateless,367,public-system-2,v1,6,0,0,0,0,late,0
interleaved,0,stateless,368,public-system-2,v1,5,0,0,0,0,late,0
interleaved,0,stateless,369,public-system-2,v1,1,0,1,0,0,late,0
interleaved,0,stateless,370,public-system-2,v1,0,0,0,0,0,late,0
interleaved,0,stateless,371,public-system-2,v1,3,0,0,0,0,late,0
interleaved,0,stateless,372,public-system-3,v1,5,0,0,0,0,late,0
interleaved,0,stateless,373,public-system-3,v1,3,0,0,0,0,late,0
interleaved,0,stateless,374,public-system-3,v1,2,0,0,0,0,late,0
interleaved,0,stateless,375,public-system-3,v1,0,0,0,0,0,late,0
interleaved,0,stateless,376,public-system-3,v1,1,0,1,0,0,late,0
interleaved,0,stateless,377,public-system-3,v1,0,0,0,0,0,late,0
interleaved,0,stateless,378,public-system-3,v1,5,0,0,0,0,late,0
interleaved,0,stateless,379,public-system-3,v1,6,0,0,0,0,late,0
interleaved,0,stateless,380,public-system-3,v1,0,0,0,0,0,late,0
interleaved,0,stateless,381,public-system-3,v1,6,0,0,0,0,late,0
interleaved,0,stateless,382,public-system-3,v1,5,0,0,0,0,late,0
interleaved,0,stateless,383,public-system-3,v1,4,0,0,0,0,late,0
interleaved,0,window_replay_24,0,public-system-0,v1,6,0,0,0,0,early,49
interleaved,0,window_replay_24,1,public-system-0,v1,6,1,0,0,0,early,42
